Player,Draft,Drafted,League,Birth Year,Age In Draft Yr,Listed Height,Height (in),GP,GS,MIN,PTS,FGM,FGA,FG%,ThreePtMade,ThreePtAttempts,ThreePtPercentage,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S,PPR,PPS,ORtg,DRtg,PER
Álex Abrines,2013,1,Euroleague,1993,20,6-6,78,15,1,11.20,5.13,1.67,3.73,0.45,0.73,2.27,0.32,1.07,1.07,1.00,0.27,0.80,1.07,0.33,0.40,0.07,0.53,1.33,0.61,0.55,3.52,8.89,6.43,5.53,11.26,2.09,0.61,21.83,177.00,-2.86,1.38,118.60,96.50,0.00
Marko Todorović,2013,1,Euroleague,1992,21,6-10,82,19,0,7.40,2.32,0.79,1.58,0.50,0.05,0.26,0.20,0.68,1.16,0.59,0.95,1.11,2.05,0.37,0.26,0.53,0.68,0.89,0.55,0.52,19.30,17.83,18.48,7.80,24.68,2.01,6.43,18.81,129.09,-5.88,1.47,104.30,90.20,0.00
Raul Neto,2013,1,Spain,1992,21,6-1,73,34,21,24.50,8.53,3.09,6.71,0.46,0.68,1.74,0.39,1.68,2.12,0.79,0.44,1.91,2.35,2.91,1.03,0.09,1.79,2.50,0.56,0.51,2.25,11.25,6.43,22.38,19.02,2.34,0.37,18.50,164.20,0.59,1.27,107.80,112.70,13.36
Joffrey Lauvergne,2013,1,ABA,1991,22,6-11,83,13,5,14.40,5.15,1.92,3.69,0.52,0.08,0.54,0.14,1.23,1.85,0.67,1.00,2.38,3.38,0.62,0.38,0.15,1.23,1.62,0.57,0.53,9.35,21.63,15.58,8.67,21.46,1.58,1.25,20.15,133.04,-5.94,1.40,102.90,99.00,15.98
Bojan Dubljević,2013,1,Spain,1991,22,6-9,81,36,22,20.40,12.14,4.36,8.14,0.54,1.00,2.11,0.47,2.42,2.89,0.84,1.39,2.28,3.67,0.53,0.64,0.28,2.14,2.64,0.65,0.60,9.61,15.69,12.65,5.05,18.52,1.73,1.43,27.24,184.61,-8.64,1.49,112.50,106.50,19.39
Jānis Timma,2013,1,Latvia,1992,21,6-7,79,24,13,24.30,12.83,4.33,7.92,0.55,1.33,3.12,0.43,2.83,3.54,0.80,1.33,4.08,5.42,2.79,1.08,0.12,1.50,2.58,0.68,0.63,7.79,19.18,14.11,19.39,13.67,2.48,0.53,21.85,177.40,1.57,1.62,132.30,91.80,25.67
Evan Fournier,2012,1,France,1992,20,6-7,79,30,18,26.00,14.03,4.90,11.53,0.43,1.27,4.57,0.28,2.97,3.93,0.75,1.13,2.07,3.20,2.20,1.50,0.13,2.17,3.10,0.53,0.48,5.20,10.61,7.75,17.92,14.04,3.29,0.55,28.53,145.65,-2.74,1.22,104.40,108.50,17.59
Tomáš Satoranský,2012,1,Spain,1991,21,6-7,79,36,9,17.20,4.81,1.78,4.14,0.43,0.33,1.22,0.27,0.92,1.31,0.70,0.61,1.50,2.11,1.33,0.53,0.08,1.33,2.08,0.51,0.47,4.46,11.99,8.05,14.21,22.05,1.79,0.54,17.16,140.44,-2.65,1.16,97.00,106.40,9.95
Kostas Papanikolaou,2012,1,Euroleague,1990,22,6-8,80,22,13,19.80,6.09,2.23,4.55,0.49,0.64,1.91,0.33,1.00,1.45,0.69,1.00,2.41,3.41,0.64,0.50,0.32,0.55,1.55,0.59,0.56,6.72,17.19,11.79,5.98,9.52,1.44,1.56,14.20,151.08,-0.61,1.34,122.00,105.60,0.00
İzzet Türkyılmaz,2012,1,Turkey,1990,22,7-0,84,27,3,8.80,2.04,0.78,2.04,0.38,0.07,0.44,0.17,0.41,0.78,0.52,0.56,1.33,1.89,0.33,0.26,0.81,0.48,1.07,0.43,0.40,9.10,18.45,14.17,5.59,16.83,1.70,9.06,16.42,107.23,-3.00,1.00,90.60,101.30,11.19
Ognjen Kuzmić,2012,1,Spain-2,1990,22,7-1,85,34,33,25.00,10.44,4.38,8.21,0.53,0.00,0.03,0.00,1.68,2.50,0.67,3.38,5.18,8.56,0.71,0.68,2.09,2.18,2.50,0.56,0.53,17.26,26.69,21.95,6.57,18.95,1.55,7.53,22.12,120.46,-7.00,1.27,105.90,98.60,22.89
Furkan Aldemir,2012,1,Turkey,1991,21,6-10,82,34,25,20.80,8.12,3.03,4.97,0.61,0.00,0.00,0.00,2.06,3.32,0.62,2.12,4.53,6.65,0.71,0.47,0.88,0.88,2.53,0.63,0.61,13.99,28.30,21.34,5.81,12.06,1.31,4.56,17.65,122.89,-2.02,1.63,126.00,100.10,20.49
